domain,technology,categories,evidence
insieme.stanford.edu,Acquia Cloud Platform,PaaS,header: X-AH-Environment=01live
insieme.stanford.edu,Drupal,CMS,header: X-Drupal-Cache | header: X-Generator=Drupal 11 (https://www.drupal.org) | meta: generator=Drupal 11 (https://www.drupal.org)
insieme.stanford.edu,HSTS,Security,header: Strict-Transport-Security
insieme.stanford.edu,Admin Panel,robots.txt,robots.txt contains 'Disallow: /admin'
insieme.stanford.edu,Amazon Web Services,PaaS,implied by Acquia Cloud Platform
insieme.stanford.edu,PHP,Programming languages,implied by Drupal
layer7innovations.ca,Bootstrap,UI frameworks,"html: <link[^>]* href=[^>]*?bootstrap(?:[^>]*?([0-9a-fA-F]{7,40}|["
layer7innovations.ca,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
layer7innovations.ca,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
layer7innovations.ca,YouTube,Video players,html: <(?:param|embed|iframe)[^>]+youtube(?:-nocookie)?\.com/(?:v|
layer7innovations.ca,Google Workspace,DNS,DNS record contains 'google.com'
layer7innovations.ca,SPF,DNS,DNS record contains 'v=spf1'
makpharma-eg.com,GoDaddy Website Builder,CMS,cookie: dps_site_id | meta: generator=Starfield Technologies; Go Daddy Website
makpharma-eg.com,HSTS,Security,header: Strict-Transport-Security
makpharma-eg.com,GoDaddy Email,DNS,DNS record contains 'secureserver.net'
ejc-courtage-assurances.fr,PHP,Programming languages,header: X-Powered-By=PHP/8.1
ejc-courtage-assurances.fr,OVH,DNS,DNS record contains 'ovh.net'
ferrateoxidant.com,Apache HTTP Server,Web servers,header: Server=Apache
ferrateoxidant.com,Elementor,Page builders; WordPress plugins,meta: generator=Elementor 3.22.3; features: e_optimized_
ferrateoxidant.com,Google PageSpeed,Caching; Web server extensions; Performance,header: X-Mod-Pagespeed=1.13.35.2-0
ferrateoxidant.com,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://ferrateoxidant.com/wp-json/>; r | script: https://ferrateoxidant.com/wp-content/plugins/contact-form-7"
ferrateoxidant.com,PHP,Programming languages,implied by WordPress
ferrateoxidant.com,MySQL,Databases,implied by WordPress
oakwell.vet,Google Tag Manager,Tag managers,html: googletagmanager\.com/ns\.html[^>]+></iframe> | html: <!-- (?:End )?Google Tag Manager -->
oakwell.vet,Nginx,Web servers; Reverse proxies,header: Server=nginx-rc
oakwell.vet,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://oakwell.vet/wp-json/>; rel=""htt | script: https://oakwell.vet/wp-content/plugins/widget-google-reviews | meta: generator=WordPress 6.9.4"
oakwell.vet,Yoast SEO,SEO; WordPress plugins,html: <!-- This site is optimized with the Yoast (?:WordPress )?SE
oakwell.vet,YouTube,Video players,html: <(?:param|embed|iframe)[^>]+youtube(?:-nocookie)?\.com/(?:v|
oakwell.vet,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
oakwell.vet,PHP,Programming languages,implied by WordPress
oakwell.vet,MySQL,Databases,implied by WordPress
oakwell.vet,Microsoft 365,DNS,DNS record contains 'ms='
oakwell.vet,Google Search Console,DNS,DNS record contains 'google-site-verification'
oakwell.vet,SPF,DNS,DNS record contains 'v=spf1'
mysterion.hr,Bootstrap,UI frameworks,"html: <link[^>]* href=[^>]*?bootstrap(?:[^>]*?([0-9a-fA-F]{7,40}|["
mysterion.hr,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
mysterion.hr,Engintron,Web server extensions,header: X-Server-Powered-By=Engintron
mysterion.hr,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
mysterion.hr,reCAPTCHA,Security,script: https://www.google.com/recaptcha/api.js?render=6LfMtIsUAAAAA
mysterion.hr,Slider Revolution,Widgets; Photo galleries,meta: generator=Powered by Slider Revolution 5.4.6.3.1 -
mysterion.hr,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | script: https://mysterion.hr/wp-content/plugins/revslider/public/ass"
mysterion.hr,Yoast SEO,SEO; WordPress plugins,html: <!-- This site is optimized with the Yoast (?:WordPress )?SE
mysterion.hr,PHP,Programming languages,implied by WordPress
mysterion.hr,MySQL,Databases,implied by WordPress
mysterion.hr,SPF,DNS,DNS record contains 'v=spf1'
howellmotors.com,HSTS,Security,header: Strict-Transport-Security
howellmotors.com,Microsoft 365,DNS,DNS record contains 'ms='
howellmotors.com,SPF,DNS,DNS record contains 'v=spf1'
lorenz-baumarkt.de,Apache HTTP Server,Web servers,header: Server=Apache
lorenz-baumarkt.de,Stimulus,JavaScript frameworks,html: <[^>]+data-controller
lorenz-baumarkt.de,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
lorenz-baumarkt.de,E-commerce,robots.txt,robots.txt contains '/checkout'
lorenz-baumarkt.de,Microsoft 365,DNS,DNS record contains 'ms='
lorenz-baumarkt.de,SPF,DNS,DNS record contains 'v=spf1'
eclairage-solaire-occitanie.com,Google Cloud CDN,CDN,header: Via=1.1 google
eclairage-solaire-occitanie.com,HSTS,Security,header: Strict-Transport-Security
eclairage-solaire-occitanie.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=2592000,h3-29="":443""; ma=2"
eclairage-solaire-occitanie.com,WebsiteBuilder,Page builders,meta: generator=Wix.com Website Builder
eclairage-solaire-occitanie.com,Wix,CMS; Blogs,header: X-Wix-Request-Id | meta: generator=Wix.com Website Builder
eclairage-solaire-occitanie.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
eclairage-solaire-occitanie.com,Google Cloud,IaaS,implied by Google Cloud CDN
eclairage-solaire-occitanie.com,React,JavaScript frameworks,implied by Wix
cmc01village.com,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
cmc01village.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
cmc01village.com,SPF,DNS,DNS record contains 'v=spf1'
maiquotes.net,Apache HTTP Server,Web servers,header: Server=Apache/2.4.37
maiquotes.net,HSTS,Security,header: Strict-Transport-Security
maiquotes.net,PHP,Programming languages,header: X-Powered-By=PHP/8.2.30 | url: https://portal.mymarylandauto.com/site/wp-login.php?redirect
maiquotes.net,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/"
maiquotes.net,MySQL,Databases,implied by WordPress
cmresolutions.com,Apache HTTP Server,Web servers,header: Server=Apache
cmresolutions.com,Microsoft Word,Editors,meta: ProgId=Word.Document | meta: generator=Microsoft Word 10
cmresolutions.com,SPF,DNS,DNS record contains 'v=spf1'
wglchurch.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
nwmotorinn.com,AMP,JavaScript frameworks,"html: <link rel=""amphtml"""
nwmotorinn.com,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
nwmotorinn.com,HSTS,Security,header: Strict-Transport-Security
nwmotorinn.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
nwmotorinn.com,Netlify,PaaS; CDN,header: X-NF-Request-ID
nwmotorinn.com,React,JavaScript frameworks,html: <[^>]+data-react
nwmotorinn.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
dorpsbelangen.nu,Apache HTTP Server,Web servers,header: Server=Apache
dorpsbelangen.nu,PHP,Programming languages,header: X-Powered-By=PHP/8.4.19
dorpsbelangen.nu,reCAPTCHA,Security,script: https://www.google.com/recaptcha/api.js?render=6LeE4_wcAAAAA
dorpsbelangen.nu,Varnish,Caching,header: Via=1.1 webcache1 (Varnish/trunk) | header: X-Varnish
dorpsbelangen.nu,WordPress,CMS; Blogs,"html: <link rel=[""']stylesheet[""'] [^>]+/wp-(?:content|includes)/ | header: link=<https://www.dorpsbelangen.nu/wp-json/>; | script: https://www.dorpsbelangen.nu/wp-content/plugins/essential-wi | meta: generator=WordPress 6.9.4"
dorpsbelangen.nu,WordPress Block Editor,Page builders,"html: <div[^>]+class=[""']wp-block-*"
dorpsbelangen.nu,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
dorpsbelangen.nu,MySQL,Databases,implied by WordPress
evelynanders.com,Apache HTTP Server,Web servers,header: Server=Apache/2.4.66 (Unix)
evelynanders.com,PHP,Programming languages,header: X-Powered-By=PHP/7.4.33
evelynanders.com,reCAPTCHA,Security,script: https://www.google.com/recaptcha/api.js?render=6LeFwOkqAAAAA
evelynanders.com,UNIX,Operating systems,header: Server=Apache/2.4.66 (Unix)
evelynanders.com,Varnish,Caching,header: Via=1.1 ip-172-31-105-253 (Varnish/7.5) | header: X-Varnish
evelynanders.com,Admin Panel,robots.txt,robots.txt contains 'Disallow: /admin'
evelynanders.com,Google Workspace,DNS,DNS record contains 'google.com'
domekvefaru.com,WebNode,CMS; Page builders,meta: generator=Webnode 2
domekvefaru.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
domekvefaru.com,SPF,DNS,DNS record contains 'v=spf1'
sdmdjentertainment.com,GoDaddy Website Builder,CMS,cookie: dps_site_id | meta: generator=Starfield Technologies; Go Daddy Website
sdmdjentertainment.com,HSTS,Security,header: Strict-Transport-Security
ideenhunger.com,Cloudflare,CDN,header: Server=cloudflare | header: cf-cache-status | header: cf-ray
ideenhunger.com,Google Tag Manager,Tag managers,html: googletagmanager\.com/ns\.html[^>]+></iframe> | html: <!-- (?:End )?Google Tag Manager -->
ideenhunger.com,HSTS,Security,header: Strict-Transport-Security
ideenhunger.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=86400"
ideenhunger.com,YouTube,Video players,html: <(?:param|embed|iframe)[^>]+youtube(?:-nocookie)?\.com/(?:v|
ideenhunger.com,Facebook Domain Verification,DNS,DNS record contains 'facebook-domain-verification'
ideenhunger.com,SPF,DNS,DNS record contains 'v=spf1'
ideenhunger.com,Microsoft 365,DNS,DNS record contains 'ms='
jenniferbacksteininteriors.com,HSTS,Security,header: Strict-Transport-Security
jenniferbacksteininteriors.com,Squarespace,CMS,header: server=Squarespace
jenniferbacksteininteriors.com,Squarespace Commerce,Ecommerce,header: server=Squarespace
jenniferbacksteininteriors.com,Stimulus,JavaScript frameworks,html: <[^>]+data-controller
jenniferbacksteininteriors.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
jenniferbacksteininteriors.com,Microsoft 365,DNS,DNS record contains 'protection.outlook'
jenniferbacksteininteriors.com,GoDaddy Email,DNS,DNS record contains 'secureserver.net'
jenniferbacksteininteriors.com,SPF,DNS,DNS record contains 'v=spf1'
elcolegiocongresosyrestaurante.com,Nginx,Web servers; Reverse proxies,header: Server=nginx
elcolegiocongresosyrestaurante.com,SPF,DNS,DNS record contains 'v=spf1'
northshoremacnut.com,Google Cloud CDN,CDN,header: Via=1.1 google
northshoremacnut.com,HSTS,Security,header: Strict-Transport-Security
northshoremacnut.com,HTTP/3,Miscellaneous,"header: Alt-Svc=h3="":443""; ma=2592000,h3-29="":443""; ma=2"
northshoremacnut.com,WebsiteBuilder,Page builders,meta: generator=Wix.com Website Builder
northshoremacnut.com,Wix,CMS; Blogs,header: X-Wix-Request-Id | meta: generator=Wix.com Website Builder
northshoremacnut.com,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
northshoremacnut.com,Google Cloud,IaaS,implied by Google Cloud CDN
northshoremacnut.com,React,JavaScript frameworks,implied by Wix
northshoremacnut.com,Google Workspace,DNS,DNS record contains 'google.com'
northshoremacnut.com,Google Search Console,DNS,DNS record contains 'google-site-verification'
northshoremacnut.com,SPF,DNS,DNS record contains 'v=spf1'
northshoremacnut.com,Apple,DNS,DNS record contains 'apple-domain-verification'
powercleaning.services,Nginx,Web servers; Reverse proxies,header: Server=nginx
powercleaning.services,SPF,DNS,DNS record contains 'v=spf1'
stoperbis.pl,Apache HTTP Server,Web servers,header: Server=Apache/2
stoperbis.pl,PHP,Programming languages,script: javascript/skrypty.php
stoperbis.pl,ShopGold,Ecommerce,cookie: eGold
stoperbis.pl,Sitemap,robots.txt,robots.txt contains 'Sitemap: '
stoperbis.pl,SPF,DNS,DNS record contains 'v=spf1'
stoperbis.pl,Microsoft 365,DNS,DNS record contains 'ms='
